INDEX PR_0 PR_1 PR_2
chr10_100486810_100487687_MACS_peak_4138 0.6607 0.0000 0.3393
chr10_100487256_100487516_MACS_peak_2133 0.6964 0.0714 0.2321
chr10_100589013_100589420_MACS_peak_4139 0.8214 0.0179 0.1607
chr10_100589187_100589449_MACS_peak_2134 0.8393 0.0536 0.1071
chr10_100742124_100742324_MACS_peak_4142 0.9464 0.0000 0.0536
chr10_10184353_10184794_MACS_peak_2865 0.6964 0.0536 0.2500
chr10_10315810_10316046_MACS_peak_2866 0.9286 0.0179 0.0536
chr10_10321166_10321390_MACS_peak_2867 0.9107 0.0357 0.0536
chr10_10396221_10396421_MACS_peak_2869 0.9643 0.0000 0.0357
chr10_104386868_104387123_MACS_peak_2135 1.0000 0.0000 0.0000
chr10_10476682_10476882_MACS_peak_2870 0.9107 0.0536 0.0357
chr10_105574858_105575058_MACS_peak_4153 0.8929 0.0714 0.0357
chr10_105575343_105575647_MACS_peak_4154 0.6071 0.1250 0.2679
chr10_10557987_10558397_MACS_peak_2871 0.8393 0.0179 0.1429
chr10_105663113_105663313_MACS_peak_4156 0.9464 0.0179 0.0357
chr10_105666996_105667196_MACS_peak_4157 0.9286 0.0357 0.0357
chr10_105841264_105841705_MACS_peak_2138 0.6071 0.1607 0.2321
chr10_107272866_107273066_MACS_peak_4161 0.9643 0.0000 0.0357
chr10_10733233_10733516_MACS_peak_2872 0.9286 0.0000 0.0714
chr10_107496939_107497162_MACS_peak_4162 0.4464 0.2500 0.3036
chr10_107527968_107528181_MACS_peak_4163 0.8929 0.0893 0.0179
chr10_10803108_10803308_MACS_peak_2873 0.8393 0.0357 0.1250
chr10_108161892_108162200_MACS_peak_2140 0.4821 0.1964 0.3214
chr10_108167892_108168296_MACS_peak_4166 0.6964 0.0357 0.2679
chr10_108191544_108191766_MACS_peak_4167 0.9107 0.0000 0.0893
chr10_109010316_109010516_MACS_peak_4170 0.9643 0.0179 0.0179
chr10_109853398_109853598_MACS_peak_2143 1.0000 0.0000 0.0000
chr10_110733411_110733641_MACS_peak_4174 0.9643 0.0000 0.0357
chr10_110754260_110754465_MACS_peak_4176 0.9464 0.0000 0.0536
chr10_110931938_110932228_MACS_peak_2145 1.0000 0.0000 0.0000
chr10_111156982_111157334_MACS_peak_2148 1.0000 0.0000 0.0000
chr10_111165252_111165717_MACS_peak_2150 0.6250 0.1250 0.2500
chr10_111165490_111165869_MACS_peak_4192 0.7321 0.0357 0.2321
chr10_111205172_111205372_MACS_peak_4193 0.9464 0.0357 0.0179
chr10_111291766_111292090_MACS_peak_4196 0.8571 0.0714 0.0714
chr10_111298456_111298743_MACS_peak_4197 0.6250 0.1964 0.1786
